acceptance,backyard_area,bathroom_amenities,contents,energy_label,garden,garden_location,heating,hot_water,house_number,images,insulation,living_area,location,number_of_bathrooms,number_of_floors,number_of_rooms,offered_since,parking,place,price,rental_agreement,specifically,status,storage_space,street,type_of_construction,type_of_house,zipcode
Beschikbaar per 15-02-2024,32 m²,"Dubbele wastafel, inloopdouche, ligbad, toilet, wastafelmeubel",468 m³,A,"Achtertuin, voortuin",Gelegen op het west,Cv ketel,Cv ketel,24,,"Dubbel glas, volledig geisoleerd",156 m²,"Aan rustige weg, in woonwijk",1 badkamer,3,6 kamers (5 slaapkamers),12 februari 2024,Openbaar parkeren,Amstelveen,€ 3.200,Onbepaalde tijd,N/A,Beschikbaar,Vrijstaand steen,Marjoleinlaan,Bestaande bouw,"Eengezinswoning, tussenwoning",1187 EJ
Beschikbaar per 02-04-2024,32 m²,"Douche, ligbad, toilet, wastafel, wastafelmeubel",414 m³,N/A,"Achtertuin, voortuin",Gelegen op het zuidwest,Cv ketel,Cv ketel,7,,Dubbel glas,138 m²,"Aan rustige weg, in woonwijk",1 badkamer,2,5 kamers (4 slaapkamers),14 februari 2024,Openbaar parkeren,Amstelveen,€ 2.500,Onbepaalde tijd,Gemeubileerd,Beschikbaar,Vrijstaand steen,Wilhelmina Druckerlaan,Bestaande bouw,"Eengezinswoning, tussenwoning",1187 PT
Beschikbaar per 01-03-2024,N/A,"Douche, wastafel, wastafelmeubel",300 m³,N/A,N/A,N/A,Cv ketel,Cv ketel,15,,N/A,100 m²,In centrum,1 badkamer,1,2 kamers (1 slaapkamer),14 februari 2024,Parkeervergunningen,Amsterdam,€ 2.700,Onbepaalde tijd,Gemeubileerd,Beschikbaar,N/A,Reguliersgracht,Bestaande bouw,"Appartement, tussenverdieping",1017 LJ
Beschikbaar per 01-04-2024,N/A,"Dubbele wastafel, inloopdouche, ligbad, toilet, wastafelmeubel",294 m³,B,N/A,N/A,Cv ketel,Cv ketel,140,,Dubbel glas,98 m²,"Aan rustige weg, in woonwijk",1 badkamer,1,3 kamers (2 slaapkamers),14 februari 2024,Openbaar parkeren,Amstelveen,€ 2.350,Onbepaalde tijd,Gemeubileerd,Beschikbaar,Box,Zeelandiahoeve,Bestaande bouw,"Appartement, penthouse",1187 MD
Per direct beschikbaar,N/A,"Douche, ligbad, toilet, wastafel, wastafelmeubel",390 m³,N/A,N/A,N/A,Cv ketel,Cv ketel,85,,Dubbel glas,130 m²,In woonwijk,1 badkamer,1,3 kamers (2 slaapkamers),20 februari 2024,Parkeergarage,Amsterdam,€ 2.600,Onbepaalde tijd,Gemeubileerd,Beschikbaar,Box,Krooswijkhof,Bestaande bouw,"Appartement, portiekflat",1082 PB
Beschikbaar per 01-03-2024,N/A,"Douche, wastafel, wastafelmeubel",201 m³,B,N/A,N/A,Cv ketel,Cv ketel,213,,N/A,67 m²,"In centrum, in woonwijk",1 badkamer,1,2 kamers (1 slaapkamer),16 februari 2024,Parkeervergunningen,Amsterdam,€ 1.950,Onbepaalde tijd,Gemeubileerd,Beschikbaar,N/A,Govert Flinckstraat,Bestaande bouw,"Appartement, bovenwoning",1073 BV
Per direct beschikbaar,35 m²,"Douche, ligbad, toilet, wastafel",420 m³,D,Achtertuin,Gelegen op het west,Cv ketel,Cv ketel,9,,Dubbel glas,140 m²,"Aan rustige weg, in woonwijk",2 badkamers,3,6 kamers (5 slaapkamers),26 februari 2024,Openbaar parkeren,Amstelveen,€ 2.600,Onbepaalde tijd,Gemeubileerd,Beschikbaar,Aangebouwd steen,Bouwmeester,Bestaande bouw,"Eengezinswoning, tussenwoning",1188 DR
Beschikbaar per 01-04-2024,N/A,"Douche, ligbad, toilet, wastafel, wastafelmeubel",247 m³,N/A,N/A,N/A,Blokverwarming,Centrale voorziening,21,,Dubbel glas,79 m²,"Aan rustige weg, in woonwijk",1 badkamer,1,3 kamers (2 slaapkamers),9 februari 2024,Parkeervergunningen,Amsterdam,€ 2.450,Onbepaalde tijd,Gemeubileerd,Beschikbaar,Box,Rustenburgerstraat,Bestaande bouw,"Appartement, portiekflat",1074 EP
Beschikbaar per 01-03-2024,N/A,"Dubbele wastafel, inloopdouche, ligbad, toilet, wastafelmeubel",280 m³,A,N/A,N/A,Cv ketel,Cv ketel,43,,"Dubbel glas, volledig geisoleerd",110 m²,"In centrum, in woonwijk, vrij uitzicht",1 badkamer,1,3 kamers (2 slaapkamers),26 februari 2024,Parkeergarage,Amstelveen,€ 3.500,Onbepaalde tijd,Gemeubileerd,Beschikbaar,N/A,Van Heuven Goedhartlaan,Bestaande bouw,"Appartement, portiekflat",1181 LE
Beschikbaar per 15-04-2024,N/A,"Douche, ligbad, toilet, wastafel, wastafelmeubel",195 m³,B,N/A,N/A,Stadsverwarming,Centrale voorziening,58,,Dubbel glas,95 m²,"In centrum, in woonwijk",1 badkamer,1,3 kamers (2 slaapkamers),26 februari 2024,Parkeergarage,Amstelveen,€ 2.750,Onbepaalde tijd,Gemeubileerd,Beschikbaar,Box,Kamerlingh Onnesstraat,Bestaande bouw,"Appartement, portiekflat",1181 WB
